iter	Passed	Remaining
434	1355	1760
435	1356	1754
436	1358	1749
437	1359	1744
438	1361	1739
439	1362	1734
440	1363	1728
441	1365	1723
442	1367	1719
443	1369	1714
444	1370	1709
445	1372	1704
446	1373	1699
447	1375	1694
448	1376	1689
449	1377	1684
450	1380	1680
451	1382	1676
452	1384	1671
453	1385	1666
454	1387	1661
455	1388	1656
456	1391	1652
457	1392	1648
458	1394	1643
459	1396	1639
460	1398	1635
461	1400	1630
462	1401	1625
463	1403	1620
464	1404	1616
465	1406	1611
466	1407	1606
467	1409	1602
468	1411	1597
469	1412	1593
470	1414	1588
471	1415	1583
472	1417	1579
473	1418	1574
474	1420	1569
475	1421	1564
476	1422	1560
477	1424	1555
478	1426	1551
479	1428	1547
480	1430	1543
481	1432	1539
482	1434	1535
483	1435	1530
484	1437	1526
485	1439	1522
486	1441	1518
487	1443	1514
488	1445	1510
489	1447	1506
490	1448	1501
491	1449	1497
492	1451	1492
493	1453	1488
494	1454	1484
495	1456	1480
496	1458	1476
497	1460	1471
498	1461	1467
499	1462	1462
500	1464	1458
501	1465	1454
502	1467	1449
503	1469	1446
504	1471	1442
505	1473	1438
506	1474	1434
507	1476	1429
508	1478	1425
509	1479	1421
510	1481	1417
511	1482	1413
512	1484	1409
513	1486	1405
514	1488	1401
515	1489	1397
516	1491	1393
517	1492	1388
518	1494	1384
519	1495	1380
520	1497	1376
521	1498	1372
522	1500	1368
523	1502	1364
524	1503	1360
525	1504	1356
526	1506	1352
527	1508	1348
528	1509	1344
529	1511	1340
530	1512	1336
531	1514	1332
532	1516	1328
533	1517	1324
534	1519	1320
535	1520	1316
536	1522	1312
537	1523	1308
538	1524	1304
539	1526	1300
540	1528	1297
541	1530	1293
542	1532	1289
543	1533	1285
544	1535	1282
545	1537	1278
546	1538	1274
547	1539	1270
548	1541	1266
549	1543	1262
550	1545	1259
551	1546	1255
552	1548	1251
553	1549	1247
554	1551	1243
555	1552	1239
556	1554	1235
557	1555	1232
558	1556	1228
559	1558	1224
